time,delta_theta_avg
0.000000000000e0,1.000000000140e-6
1.000000000000e-4,1.000000000029e-6
2.000000000000e-4,9.999999999732e-7
3.000000000000e-4,9.999999999732e-7
4.000000000000e-4,9.999999999455e-7
5.000000000000e-4,9.999999999177e-7
6.000000000000e-4,9.999999998900e-7
7.000000000000e-4,9.999999998900e-7
8.000000000000e-4,9.999999998622e-7
9.000000000000e-4,9.999999998345e-7
1.000000000000e-3,9.999999998900e-7
1.100000000000e-3,9.999999997234e-7
1.200000000000e-3,9.999999998067e-7
1.300000000000e-3,9.999999998622e-7
1.400000000000e-3,9.999999998900e-7
1.500000000000e-3,9.999999998900e-7
1.600000000000e-3,9.999999998900e-7
1.700000000000e-3,9.999999998067e-7
1.800000000000e-3,9.999999998622e-7
1.900000000000e-3,9.999999998345e-7
2.000000000000e-3,9.999999998622e-7
2.100000000000e-3,9.999999999177e-7
2.200000000000e-3,9.999999999177e-7
2.300000000000e-3,9.999999999455e-7
2.400000000000e-3,1.000000000001e-6
2.500000000000e-3,9.999999999177e-7
2.600000000000e-3,9.999999999455e-7
2.700000000000e-3,9.999999999177e-7
2.800000000000e-3,9.999999999455e-7
2.900000000000e-3,9.999999998900e-7
3.000000000000e-3,9.999999999732e-7
3.100000000000e-3,1.000000000001e-6
3.200000000000e-3,1.000000000029e-6
3.300000000000e-3,1.000000000084e-6
3.400000000000e-3,1.000000000001e-6
3.500000000000e-3,1.000000000112e-6
3.600000000000e-3,1.000000000168e-6
3.700000000000e-3,1.000000000195e-6
3.800000000000e-3,1.000000000168e-6
3.900000000000e-3,1.000000000195e-6
4.000000000000e-3,1.000000000112e-6
4.100000000000e-3,1.000000000195e-6
4.200000000000e-3,1.000000000223e-6
4.300000000000e-3,1.000000000057e-6
4.400000000000e-3,1.000000000001e-6
4.500000000000e-3,1.000000000029e-6
4.600000000000e-3,1.000000000140e-6
4.700000000000e-3,1.000000000112e-6
4.800000000000e-3,1.000000000168e-6
4.900000000000e-3,1.000000000195e-6
5.000000000000e-3,1.000000000112e-6
5.100000000000e-3,1.000000000195e-6
5.200000000000e-3,1.000000000195e-6
5.300000000000e-3,1.000000000251e-6
5.400000000000e-3,1.000000000334e-6
5.500000000000e-3,1.000000000251e-6
5.600000000000e-3,1.000000000390e-6
5.700000000000e-3,1.000000000334e-6
5.800000000000e-3,1.000000000334e-6
5.900000000000e-3,1.000000000251e-6
6.000000000000e-3,1.000000000279e-6
6.100000000000e-3,1.000000000195e-6
6.200000000000e-3,1.000000000279e-6
6.300000000000e-3,1.000000000168e-6
6.400000000000e-3,1.000000000279e-6
6.500000000000e-3,1.000000000168e-6
6.600000000000e-3,1.000000000195e-6
6.700000000000e-3,1.000000000279e-6
6.800000000000e-3,1.000000000251e-6
6.900000000000e-3,1.000000000251e-6
7.000000000000e-3,1.000000000195e-6
7.100000000000e-3,1.000000000223e-6
7.200000000000e-3,1.000000000306e-6
7.300000000000e-3,1.000000000251e-6
7.400000000000e-3,1.000000000279e-6
7.500000000000e-3,1.000000000334e-6
7.600000000000e-3,1.000000000306e-6
7.700000000000e-3,1.000000000251e-6
7.800000000000e-3,1.000000000362e-6
7.900000000000e-3,1.000000000279e-6
8.000000000000e-3,1.000000000168e-6
8.100000000000e-3,1.000000000251e-6
8.200000000000e-3,1.000000000251e-6
8.300000000000e-3,1.000000000140e-6
8.400000000000e-3,1.000000000084e-6
8.500000000000e-3,1.000000000140e-6
8.600000000000e-3,1.000000000168e-6
8.700000000000e-3,1.000000000140e-6
8.800000000000e-3,1.000000000112e-6
8.900000000000e-3,1.000000000168e-6
9.000000000000e-3,1.000000000334e-6
9.100000000000e-3,1.000000000334e-6
9.200000000000e-3,1.000000000223e-6
9.300000000000e-3,1.000000000251e-6
9.400000000000e-3,1.000000000223e-6
9.500000000000e-3,1.000000000306e-6
9.600000000000e-3,1.000000000168e-6
9.700000000000e-3,1.000000000306e-6
9.800000000000e-3,1.000000000223e-6
9.900000000000e-3,1.000000000306e-6
1.000000000000e-2,1.000000000223e-6
1.010000000000e-2,1.000000000306e-6
1.020000000000e-2,1.000000000195e-6
1.030000000000e-2,1.000000000251e-6
1.040000000000e-2,1.000000000195e-6
1.050000000000e-2,1.000000000223e-6
1.060000000000e-2,1.000000000168e-6
1.070000000000e-2,1.000000000168e-6
1.080000000000e-2,1.000000000251e-6
1.090000000000e-2,1.000000000112e-6
1.100000000000e-2,1.000000000140e-6
1.110000000000e-2,1.000000000223e-6
1.120000000000e-2,1.000000000251e-6
1.130000000000e-2,1.000000000251e-6
1.140000000000e-2,1.000000000140e-6
1.150000000000e-2,1.000000000112e-6
1.160000000000e-2,1.000000000140e-6
1.170000000000e-2,1.000000000140e-6
1.180000000000e-2,1.000000000140e-6
1.190000000000e-2,1.000000000140e-6
1.200000000000e-2,1.000000000112e-6
1.210000000000e-2,1.000000000168e-6
1.220000000000e-2,1.000000000112e-6
1.230000000000e-2,1.000000000112e-6
1.240000000000e-2,1.000000000084e-6
1.250000000000e-2,1.000000000084e-6
1.260000000000e-2,1.000000000112e-6
1.270000000000e-2,1.000000000140e-6
1.280000000000e-2,1.000000000112e-6
1.290000000000e-2,1.000000000112e-6
1.300000000000e-2,1.000000000084e-6
1.310000000000e-2,1.000000000001e-6
1.320000000000e-2,1.000000000112e-6
1.330000000000e-2,1.000000000112e-6
1.340000000000e-2,1.000000000223e-6
1.350000000000e-2,1.000000000195e-6
1.360000000000e-2,1.000000000223e-6
1.370000000000e-2,1.000000000168e-6
1.380000000000e-2,1.000000000223e-6
1.390000000000e-2,1.000000000223e-6
1.400000000000e-2,1.000000000195e-6
1.410000000000e-2,1.000000000223e-6
1.420000000000e-2,1.000000000251e-6
1.430000000000e-2,1.000000000334e-6
1.440000000000e-2,1.000000000223e-6
1.450000000000e-2,1.000000000223e-6
1.460000000000e-2,1.000000000168e-6
1.470000000000e-2,1.000000000195e-6
1.480000000000e-2,1.000000000279e-6
1.490000000000e-2,1.000000000306e-6
1.500000000000e-2,1.000000000251e-6
1.510000000000e-2,1.000000000251e-6
1.520000000000e-2,1.000000000390e-6
1.530000000000e-2,1.000000000279e-6
1.540000000000e-2,1.000000000223e-6
1.550000000000e-2,1.000000000251e-6
1.560000000000e-2,1.000000000195e-6
1.570000000000e-2,1.000000000168e-6
1.580000000000e-2,1.000000000223e-6
1.590000000000e-2,1.000000000279e-6
1.600000000000e-2,1.000000000251e-6
1.610000000000e-2,1.000000000279e-6
1.620000000000e-2,1.000000000223e-6
1.630000000000e-2,1.000000000195e-6
1.640000000000e-2,1.000000000279e-6
1.650000000000e-2,1.000000000390e-6
1.660000000000e-2,1.000000000390e-6
1.670000000000e-2,1.000000000223e-6
1.680000000000e-2,1.000000000279e-6
1.690000000000e-2,1.000000000251e-6
1.700000000000e-2,1.000000000251e-6
1.710000000000e-2,1.000000000251e-6
1.720000000000e-2,1.000000000279e-6
1.730000000000e-2,1.000000000334e-6
1.740000000000e-2,1.000000000417e-6
1.750000000000e-2,1.000000000390e-6
1.760000000000e-2,1.000000000417e-6
1.770000000000e-2,1.000000000306e-6
1.780000000000e-2,1.000000000390e-6
1.790000000000e-2,1.000000000417e-6
1.800000000000e-2,1.000000000445e-6
1.810000000000e-2,1.000000000417e-6
1.820000000000e-2,1.000000000417e-6
1.830000000000e-2,1.000000000390e-6
1.840000000000e-2,1.000000000390e-6
1.850000000000e-2,1.000000000390e-6
1.860000000000e-2,1.000000000445e-6
1.870000000000e-2,1.000000000445e-6
1.880000000000e-2,1.000000000417e-6
1.890000000000e-2,1.000000000528e-6
1.900000000000e-2,1.000000000501e-6
1.910000000000e-2,1.000000000528e-6
1.920000000000e-2,1.000000000445e-6
1.930000000000e-2,1.000000000528e-6
1.940000000000e-2,1.000000000417e-6
1.950000000000e-2,1.000000000445e-6
1.960000000000e-2,1.000000000417e-6
1.970000000000e-2,1.000000000473e-6
1.980000000000e-2,1.000000000417e-6
1.990000000000e-2,1.000000000417e-6
2.000000000000e-2,1.000000000473e-6
2.010000000000e-2,1.000000000417e-6
2.020000000000e-2,1.000000000473e-6
2.030000000000e-2,1.000000000473e-6
2.040000000000e-2,1.000000000473e-6
2.050000000000e-2,1.000000000473e-6
2.060000000000e-2,1.000000000501e-6
2.070000000000e-2,1.000000000445e-6
2.080000000000e-2,1.000000000390e-6
2.090000000000e-2,1.000000000390e-6
2.100000000000e-2,1.000000000445e-6
2.110000000000e-2,1.000000000473e-6
2.120000000000e-2,1.000000000417e-6
2.130000000000e-2,1.000000000362e-6
2.140000000000e-2,1.000000000362e-6
