radius,mass,log_radius,log_mass
1.0000,5.0000,0.0000,0.6990
1.0270,5.2159,0.0116,0.7173
1.0547,5.4375,0.0231,0.7354
1.0832,5.6652,0.0347,0.7532
1.1124,5.8990,0.0463,0.7708
1.1424,6.1391,0.0578,0.7881
1.1732,6.3857,0.0694,0.8052
1.2049,6.6390,0.0809,0.8221
1.2374,6.8991,0.0925,0.8388
1.2708,7.1662,0.1041,0.8553
1.3051,7.4405,0.1156,0.8716
1.3403,7.7222,0.1272,0.8877
1.3764,8.0115,0.1388,0.9037
1.4136,8.3086,0.1503,0.9195
1.4517,8.6137,0.1619,0.9352
1.4909,8.9271,0.1734,0.9507
1.5311,9.2489,0.1850,0.9661
1.5724,9.5794,0.1966,0.9813
1.6149,9.9188,0.2081,0.9965
1.6584,10.2674,0.2197,1.0115
1.7032,10.6254,0.2313,1.0263
1.7491,10.9930,0.2428,1.0411
1.7963,11.3706,0.2544,1.0558
1.8448,11.7584,0.2659,1.0703
1.8946,12.1566,0.2775,1.0848
1.9457,12.5655,0.2891,1.0992
1.9982,12.9855,0.3006,1.1135
2.0521,13.3126,0.3122,1.1243
2.1075,13.6449,0.3238,1.1350
2.1643,13.9861,0.3353,1.1457
2.2227,14.3364,0.3469,1.1564
2.2827,14.6963,0.3585,1.1672
2.3443,15.0659,0.3700,1.1780
2.4076,15.4454,0.3816,1.1888
2.4725,15.8352,0.3931,1.1996
2.5392,16.2354,0.4047,1.2105
2.6078,16.6465,0.4163,1.2213
2.6781,17.0687,0.4278,1.2322
2.7504,17.5023,0.4394,1.2431
2.8246,17.9475,0.4510,1.2540
2.9008,18.4048,0.4625,1.2649
2.9791,18.8745,0.4741,1.2759
3.0595,19.5351,0.4856,1.2908
3.1420,20.2781,0.4972,1.3070
3.2268,21.0411,0.5088,1.3231
3.3139,21.8247,0.5203,1.3389
3.4033,22.6294,0.5319,1.3547
3.4951,23.4559,0.5435,1.3703
3.5894,24.3046,0.5550,1.3857
3.6863,25.1763,0.5666,1.4010
3.7857,26.0715,0.5781,1.4162
3.8879,26.9908,0.5897,1.4312
3.9928,27.9349,0.6013,1.4461
4.1005,29.6080,0.6128,1.4714
4.2111,31.3783,0.6244,1.4966
4.3248,33.1963,0.6360,1.5211
4.4415,35.0634,0.6475,1.5449
4.5613,36.9809,0.6591,1.5680
4.6844,38.9501,0.6707,1.5905
4.8108,40.9724,0.6822,1.6125
4.9406,43.0493,0.6938,1.6340
5.0739,44.8867,0.7053,1.6521
5.2108,46.5295,0.7169,1.6677
5.3514,48.2167,0.7285,1.6832
5.4958,49.9494,0.7400,1.6985
5.6441,51.7289,0.7516,1.7137
5.7964,53.5564,0.7632,1.7288
5.9528,55.4332,0.7747,1.7438
6.1134,57.5874,0.7863,1.7603
6.2783,59.8967,0.7978,1.7774
6.4477,62.2684,0.8094,1.7943
6.6217,64.7040,0.8210,1.8109
6.8004,67.2054,0.8325,1.8274
6.9839,69.7742,0.8441,1.8437
7.1723,73.1017,0.8557,1.8639
7.3658,76.5851,0.8672,1.8841
7.5646,80.1626,0.8788,1.9040
7.7687,83.8366,0.8903,1.9234
7.9783,87.6097,0.9019,1.9426
8.1936,93.4205,0.9135,1.9704
8.4147,99.6108,0.9250,1.9983
8.6417,105.9681,0.9366,2.0252
8.8749,112.4970,0.9482,2.0511
